Data_Year,Quarter,FUEL_TYPE,ZIP,Number of Vehicles
1998,NA,Electric,90404,1
1998,NA,Electric,91709,2
1998,NA,Electric,94063,1
1998,NA,Electric,99999,1
1999,NA,Electric,93102,1
2000,NA,Electric,99999,2
2001,NA,Electric,90731,1
2002,NA,Electric,93003,1
2002,NA,Electric,93012,1
2002,NA,Electric,93292,1
2003,NA,Electric,91360,2
2003,NA,Electric,93012,1
2003,NA,Electric,93101,1
2003,NA,Electric,93645,1
2003,NA,Electric,95648,1
2004,NA,Electric,93101,1
2005,NA,Electric,91101,1
2005,NA,Electric,92314,1
2005,NA,Electric,93010,4
2005,NA,Electric,94558,1
2005,NA,Electric,95817,1
2006,NA,Electric,93003,1
2009,NA,Electric,90021,1
2009,NA,Electric,90024,1
2009,NA,Electric,90025,1
2009,NA,Electric,90049,3
2009,NA,Electric,90064,1
2009,NA,Electric,90069,1
2009,NA,Electric,90265,5
2009,NA,Electric,90266,2
2009,NA,Electric,90272,1
2009,NA,Electric,90402,1
2009,NA,Electric,90404,1
2009,NA,Electric,90405,2
2009,NA,Hydrogen,90405,1
2009,NA,Electric,90803,2
2009,NA,Electric,90814,1
2009,NA,Electric,91101,2
2009,NA,Electric,91103,1
2009,NA,Electric,91301,1
2009,NA,Electric,91320,1
2009,NA,Electric,91423,1
2009,NA,Electric,91724,1
2009,NA,Electric,92037,1
2009,NA,Electric,92603,1
2009,NA,Electric,92651,1
2009,NA,Electric,92657,1
2009,NA,Electric,93013,1
2009,NA,Electric,93021,1
2009,NA,Electric,93033,4
2009,NA,Electric,93311,1
2009,NA,Electric,93405,1
2009,NA,Electric,93536,1
2009,NA,Electric,94002,1
2009,NA,Electric,94010,2
2009,NA,Electric,94022,5
2009,NA,Electric,94025,2
2009,NA,Electric,94027,1
2009,NA,Electric,94040,1
2009,NA,Electric,94041,1
2009,NA,Electric,94062,3
2009,NA,Electric,94070,1
2009,NA,Electric,94107,1
2009,NA,Electric,94115,1
2009,NA,Electric,94118,2
2009,NA,Electric,94131,1
2009,NA,Electric,94301,1
2009,NA,Electric,94563,1
2009,NA,Electric,94611,3
2009,NA,Electric,94618,1
2009,NA,Electric,94705,1
2009,NA,Electric,94947,1
2009,NA,Electric,95070,3
2009,NA,Electric,95128,1
2009,NA,Electric,95357,1
2009,NA,Electric,95472,1
2009,NA,Electric,95573,1
2009,NA,Electric,95608,1
2009,NA,Electric,95616,1
2009,NA,Electric,95831,1
2010,NA,Electric,90010,2
2010,NA,Electric,90020,1
2010,NA,Electric,90024,6
2010,NA,Electric,90025,2
2010,NA,Electric,90027,3
2010,NA,Electric,90035,2
2010,NA,Electric,90046,3
2010,NA,Electric,90049,5
2010,NA,Hydrogen,90049,2
2010,NA,Electric,90064,2
2010,NA,Electric,90068,5
2010,NA,Electric,90069,2
2010,NA,Electric,90077,3
2010,NA,Hydrogen,90077,1
2010,NA,Electric,90210,12
2010,NA,Hydrogen,90210,2
2010,NA,Electric,90212,3
2010,NA,Electric,90232,1
2010,NA,Electric,90248,1
2010,NA,Electric,90250,6
2010,NA,Electric,90254,3
2010,NA,Electric,90265,5
2010,NA,Electric,90266,7
2010,NA,Electric,90272,6
2010,NA,Hydrogen,90272,1
2010,NA,Electric,90274,1
2010,NA,Electric,90275,2
2010,NA,Hydrogen,90277,1
2010,NA,Electric,90291,3
2010,NA,Electric,90292,1
2010,NA,Electric,90401,4
2010,NA,Electric,90402,9
2010,NA,Electric,90404,1
2010,NA,Electric,90405,2
2010,NA,PHEV,90501,10
2010,NA,Hydrogen,90501,3
2010,NA,PHEV,90509,153
2010,NA,Electric,90620,1
2010,NA,Electric,90703,1
2010,NA,Electric,90720,1
2010,NA,Electric,90802,1
2010,NA,Electric,90803,2
2010,NA,Electric,90807,2
2010,NA,PHEV,90807,1
2010,NA,Electric,91001,1
2010,NA,Electric,91006,1
2010,NA,Electric,91007,1
2010,NA,Electric,91011,4
2010,NA,Electric,91017,1
2010,NA,Electric,91024,2
2010,NA,Electric,91101,1
2010,NA,Electric,91103,2
2010,NA,Electric,91104,1
2010,NA,Electric,91105,2
2010,NA,Electric,91106,1
2010,NA,Electric,91107,2
2010,NA,Electric,91108,1
2010,NA,Electric,91204,1
2010,NA,Electric,91207,1
2010,NA,Electric,91214,2
