station_name,longitude,latitude,city,open_date,owner_type_code,fuel_type_code
Hyatt at Fisherman's Wharf,-122.4152,37.80619,San Francisco,1998-07-01,P,ELEC
Palace Hotel,-122.401,37.78881,San Francisco,2002-01-31,P,ELEC
Mark Hopkins InterContinental Hotel,-122.411265,37.791791,San Francisco,2002-01-31,P,ELEC
Parc 55 Hotel,-122.408991,37.784871,San Francisco,2011-02-01,P,ELEC
Beach & Hyde Garage,-122.419488,37.806798,San Francisco,2011-02-01,P,ELEC
Golden Gate Park - Music Concourse Garage,-122.468341,37.768766,San Francisco,2012-04-10,P,ELEC
InterContinental Hotel - San Francisco,-122.404764,37.782079,San Francisco,2011-08-01,P,ELEC
San Francisco State University,-122.477023,37.720848,San Francisco,2013-07-16,SG,ELEC
Fort Mason,-122.428903,37.804677,San Francisco,2012-06-01,FG,ELEC
Fort Mason,-122.428183,37.805045,San Francisco,2012-06-01,FG,ELEC
Pacific Place Garage,-122.405334,37.784911,San Francisco,2018-08-15,,ELEC
JPMorgan Parking Garage,-122.399359,37.788865,San Francisco,2014-08-01,P,ELEC
Stonestown Galleria Trader Joes,-122.47599,37.726664,San Francisco,2014-08-01,,ELEC
Extra Space Storage,-122.402416,37.749068,San Francisco,2014-09-01,T,ELEC
Stanford Court Hotel,-122.409718,37.791983,San Francisco,2014-03-31,P,ELEC
Park 'N Fly,-122.407022,37.647798,San Francisco,2015-04-01,P,ELEC
Golden Gate National Recreation Area - Fort Mason,-122.429484,37.803955,San Francisco,2016-01-27,FG,ELEC
Fort Mason,-122.4310408,37.8067536,San Francisco,2016-01-27,FG,ELEC
Caltrans - District 32,-122.409883,37.73345,San Francisco,2017-12-04,SG,ELEC
Fuse Project,-122.401169,37.7660567,San Francisco,2014-08-01,P,ELEC
Anchorage Garage - 500 Beach,-122.4178309,37.80748,San Francisco,2014-08-28,,ELEC
Tishman Speyer,-122.39968,37.791185,San Francisco,2015-01-14,,ELEC
Owens St Parking Garage,-122.3942639,37.767928,San Francisco,2016-07-08,,ELEC
Environmental Protection Agency,-122.398057,37.785487,San Francisco,2018-04-01,FG,ELEC
Department of Veterans Affairs VISN 21,-122.505051,37.782007,San Francisco,2018-09-01,FG,ELEC
101 Second Street Garage - Tesla Destination,-122.39918,37.788097,San Francisco,2016-06-10,P,ELEC
101 California Street Garage - Tesla Destination,-122.397675,37.792826,San Francisco,2016-06-08,P,ELEC
345 California Center Parking Garage - Tesla Destination,-122.39998,37.792496,San Francisco,2015-01-27,P,ELEC
"Hotel Kabuki, a Joie de Vivre Hotel - Tesla Destination",-122.428919,37.785523,San Francisco,2015-11-20,P,ELEC
"Hotel Buchanan, a Kimpton Hotel - Tesla Destination",-122.430143,37.78679,San Francisco,2015-11-23,P,ELEC
Loews Regency San Francisco - Tesla Destination,-122.401039,37.792442,San Francisco,2015-01-22,P,ELEC
Hilton San Francisco Union Square - Tesla Destination,-122.410433,37.786079,San Francisco,2015-11-02,P,ELEC
The Westin St. Francis San Francisco on Union Square - Tesla Destination,-122.408731,37.787828,San Francisco,2018-10-03,P,ELEC
Park Central Hotel - Tesla Destination,-122.402827,37.78671,San Francisco,2014-04-04,P,ELEC
The Ritz-Carlton Hotel San Francisco - Tesla Destination,-122.407178,37.791878,San Francisco,2015-12-08,P,ELEC
San Francisco Marriott Marquis - Tesla Destination,-122.4043,37.7849,San Francisco,2015-02-03,P,ELEC
The Fairmont San Francisco - Tesla Destination,-122.410035,37.792496,San Francisco,2014-12-10,P,ELEC
InterContinental Mark Hopkins San Francisco - Tesla Destination,-122.410385,37.791596,San Francisco,2015-01-22,P,ELEC
San Francisco Zoo - Tesla Destination,-122.505159,37.73313,San Francisco,2017-11-20,P,ELEC
Bay Area Metro Center,-122.391285,37.787815,San Francisco,2018-10-25,LG,ELEC
Fairmont Heritage Place Ghirardelli Square - Tesla Destination,-122.423418,37.805388,San Francisco,2014-11-18,P,ELEC
521422-Ghiradelli Square,-122.4225,37.805639,San Francisco,2019-05-19,,ELEC
521406-222 2nd St,-122.397949,37.786651,San Francisco,2019-05-25,,ELEC
EVSP WALGREENS STORE 2088,-122.433831,37.750738,San Francisco,2019-08-21,,ELEC
St. Ignatius College Preparatory,-122.49572,37.749666,San Francisco,2019-08-01,P,ELEC
Four Embarcadero Center,-122.3961,37.7952,San Francisco,2011-10-05,,ELEC
Two Embarcadero Center,-122.3985003,37.7950272,San Francisco,2012-02-06,,ELEC
531404  Two Embarcadero Center,-122.3985089,37.794454,San Francisco,2016-06-16,,ELEC
531403  Four Embarcadero Center,-122.3985089,37.794454,San Francisco,2015-09-09,,ELEC
Foundry III,-122.3961165,37.7879608,San Francisco,2014-04-07,,ELEC
101 Second Street Garage,-122.3994485,37.7878613,San Francisco,2015-08-13,,ELEC
ACE Parking - 625 2nd St Pkg Grg,-122.3912756,37.7814995,San Francisco,2011-11-28,,ELEC
ACE Parking / 1776 Sacramento,-122.4221102,37.7915441,San Francisco,2011-11-29,,ELEC
Broadway Charger (btw Pierce & Steiner),-122.437701,37.79422,San Francisco,2012-02-24,,ELEC
ACE PKG - 875 HOWARD GRG,-122.4041764,37.7819286,San Francisco,2011-11-28,,ELEC
Dolby Laboratories,-122.415426,37.777522,San Francisco,2014-12-15,,ELEC
Letterman Digital Arts Center - Tesla Supercharger,-122.448715,37.798185,San Francisco,2019-09-30,P,ELEC
Golden Gate National Recreation Area - Fort Mason,-122.432211,37.805408,San Francisco,2019-09-01,FG,ELEC
Hilton San Francisco Financial District - Tesla Destination,-122.404869,37.795208,San Francisco,2019-04-24,P,ELEC
The Masonic - Tesla Destination,-122.412813,37.791537,San Francisco,2019-05-01,P,ELEC
UCSF - 1630 3rd Garage,-122.39,37.768,San Francisco,2018-01-01,SG,ELEC
Community Center Garage,-122.393775,37.768299,San Francisco,2017-05-03,,ELEC
Third Street Garage,-122.389712,37.768046,San Francisco,2017-02-10,,ELEC
Owens Street Garage,-122.392255,37.765967,San Francisco,2017-01-11,,ELEC
UCSF Parnassus,-122.458463,37.764017,San Francisco,2017-11-22,,ELEC
Letterman Digital Arts Center Public,-122.448826,37.798811,San Francisco,2018-10-26,,ELEC
Stonestown Galleria Sports Basement,-122.477707,37.728954,San Francisco,2020-01-20,,ELEC
CCSF-SFMTA JCG ANNEX 1,-122.432567,37.784902,San Francisco,2020-02-07,,ELEC
HUDSON PACIFIC 1455 STATION 10,-122.417113,37.774846,San Francisco,2020-02-14,,ELEC
HUDSON PACIFIC 1455 STATION 9,-122.417127,37.774854,San Francisco,2020-02-14,,ELEC
625 GARAGE STATION 1,-122.390854,37.781887,San Francisco,2020-03-31,,ELEC
550 KEARNY STATION 1,-122.404236,37.793514,San Francisco,2020-05-07,,ELEC
RINCON CENTER RINCON 3,-122.39286,37.79186,San Francisco,2020-05-13,,ELEC
CCSF-SFMTA CIVIC CTR 6,-122.417671,37.780295,San Francisco,2020-06-12,,ELEC
FAAO CHARGE STATION 2,-122.41977,37.806522,San Francisco,2020-06-12,,ELEC
CHASE CENTER BBOPS 1,-122.388589,37.768009,San Francisco,2020-06-12,,ELEC
CCSF-SFMTA MOSCONE CTR 5,-122.399612,37.784401,San Francisco,2020-06-12,,ELEC
CCSF-SFMTA SFGH 3,-122.405106,37.754872,San Francisco,2020-06-12,,ELEC
BEACON GARAGE 250 KING ST 4,-122.393055,37.778305,San Francisco,2020-06-12,,ELEC
CCSF-SFMTA SUTTER 1,-122.406038,37.78932,San Francisco,2020-06-12,,ELEC
PARKMERCED FO150PMTOWER2G,-122.473492,37.715705,San Francisco,2020-06-12,,ELEC
PARKMERCED F0100PMTOWER2G,-122.472778,37.715233,San Francisco,2020-06-12,,ELEC
450 SOUTH ST EV STATION 06,-122.388411,37.769004,San Francisco,2020-06-12,,ELEC
PARKMERCED CH055PMTOWER2G,-122.472559,37.713888,San Francisco,2020-06-12,,ELEC
CCSF - SFO SFO LOT D-3,-122.384864,37.616523,San Francisco,2020-06-12,,ELEC
CCSF - SFO SFO LOT B-1,-122.385964,37.61551,San Francisco,2020-06-12,,ELEC
"LONGFELLOW 1800 6 (67,86)",-122.392587,37.765729,San Francisco,2020-06-12,,ELEC
UCSF CAMPUS ACC P7 EV2,-122.457723,37.763552,San Francisco,2020-06-12,,ELEC
UCSF CAMPUS ACC P5 EV2,-122.45763,37.763634,San Francisco,2020-06-12,,ELEC
275 BATTERY 275 BATTERY 1,-122.400455,37.793828,San Francisco,2020-06-12,,ELEC
STATION 1 CHARGER 1,-122.398394,37.792189,San Francisco,2020-06-12,,ELEC
BAMC P1 STATION 2,-122.391391,37.788014,San Francisco,2020-06-12,,ELEC
CCSF SFMTA ELLIS 1,-122.407309,37.785976,San Francisco,2020-06-12,,ELEC
4A CHARGERS MAIN GARAGE 4A,-122.422422,37.806046,San Francisco,2020-06-12,,ELEC
UCSF CAMPUS MBEVSE1,-122.393962,37.76829,San Francisco,2020-06-12,,ELEC
BASEMENT LEVEL 270 STATION 2,-122.391199,37.782762,San Francisco,2020-06-12,,ELEC
UDR 399 FREMONT 85,-122.392127,37.786936,San Francisco,2020-06-12,,ELEC
MONOGRAM RES OLUME 2,-122.416038,37.774966,San Francisco,2020-06-12,,ELEC
CCSF - SFO VALET 4-1,-122.384989,37.616257,San Francisco,2020-06-12,,ELEC
CCSF-SFMTA ST MARYS 4,-122.40499,37.792015,San Francisco,2020-06-12,,ELEC
CCSF-SFMTA JAPAN CTR 1,-122.43,37.785057,San Francisco,2020-06-12,,ELEC
PELL 600 HAR 1,-122.395858,37.784104,San Francisco,2020-06-12,,ELEC
ARE-ILLINOIS ST STATION 1,-122.387537,37.766051,San Francisco,2020-06-12,,ELEC
G1 EV CHARGERS 455 MARKET,-122.398522,37.79081,San Francisco,2020-06-12,,ELEC
ARE-ILLINOIS ST STATION 2,-122.387597,37.766074,San Francisco,2020-06-12,,ELEC
425 MARKET ST. STATION 2,-122.39837,37.79119,San Francisco,2020-06-12,,ELEC
ESSEX MISSION BAY 3,-122.391584,37.773019,San Francisco,2020-06-12,,ELEC
UCSF CAMPUS MBHOSPITAL EV5,-122.394213,37.768125,San Francisco,2020-06-12,,ELEC
